id,release_date,debit_account,credit_account,amount,document,operation_nature,cost_center,taxes,currency,conversion_rate
203,2020-12-12,DJPZ7F,C0GPH8,3839.74,DOCFQ4HH,OP3NQL3,CCRJBIK,154.26397977720023,JPY,2.5681167953894297
204,2023-11-29,D5SHF2,CYYO7O,1878.08,DOCG2AIJ,OPBRG6H,CC01J2H,326.4998804726215,USD,1.2480290666241416
205,2023-10-09,D2G9TG,CNKJFU,344.32,DOCWJNGX,OPSDYNQ,CCU0JK4,444.1325202720218,BRL,3.523286759155978
206,2021-02-20,D5Z7ZF,CXLHCO,765.77,DOCY3RCH,OP0944Z,CCTUV6W,154.26397977720023,EUR,3.523286759155978
207,2020-04-28,D1E3Y0,COINF4,6825.99,DOC9VR6T,OP38TQD,CCCEFVV,326.4998804726215,BRL,
208,2023-10-16,DS124Z,CTZ16S,4591.6,DOC2G1Q0,OPWSW80,CCVAENM,444.1325202720218,nan,
209,2020-11-20,DAQ6HO,CQA4GP,5412.13,,OPAJL6D,CCWSJ8X,444.1325202720218,USD,3.4756056261939174
210,2020-11-27,DNNNSD,CZEKS3,8977.05,,OPFW1O8,CCFZ21B,430.1553391717098,nan,
211,2021-12-02,D4T66A,CFG49E,9904.36,DOCDZ64O,OPDE2ZD,CCWQ8WN,444.1325202720218,BRL,
212,2022-12-20,D0IOY9,CU6IOR,2247.28,DOCGQ7I3,OPGEZZ0,CCKZDXQ,430.1553391717098,USD,
213,2021-05-28,D9XJC1,CXSCPY,6664.47,DOCNGFKW,,CC4FAMA,,JPY,3.523286759155978
214,2020-08-28,DV041B,C3GM76,2706.89,DOCQX4MT,OPC4LPZ,CCQLWPK,444.1325202720218,EUR,3.523286759155978
215,2023-05-07,D3YIZ6,CJYL37,304.44,DOCGRB5C,OP2E2MN,CC07RK8,326.4998804726215,BRL,
216,2022-06-24,DXV5KV,CHO7A5,7607.95,DOCIZGTT,OPP6G8O,CCG4Z1Q,444.1325202720218,BRL,2.135299770937235
217,2023-09-25,DMM3KX,C1PVNT,3268.17,DOCAG5YH,OP8CKJK,CCBQY5E,444.1325202720218,EUR,
218,2020-12-24,DJA374,CB0C1G,3896.29,DOCJLEYG,OPGKBM3,CCP7P0W,430.1553391717098,BRL,
219,2020-01-28,DVMKF3,CYZUU3,5924.34,DOCD445J,OPMV8C9,CC67XEK,444.1325202720218,USD,2.5681167953894297
220,2022-08-23,D7ZL4V,C5LZXR,8327.38,DOCIY5Y1,OP0Y6MF,CCLBX2K,471.09235950902394,USD,3.4756056261939174
221,2023-10-27,DOO6K3,CKQBJ2,6326.92,DOCKJHBS,,CCGO0OP,,BRL,
222,2022-04-19,DUIPJG,CKIX8H,8739.24,DOCR6BV6,OPI9FTP,CCEPQYA,154.26397977720023,USD,
223,2023-03-11,DFV1T6,C995XI,2808.07,DOCY4XEQ,OPLOQOX,CCN5BVQ,326.4998804726215,BRL,2.5681167953894297
224,2022-11-07,D4X7JK,C536SG,8000.66,DOCVTN60,OPCGOF4,CCSCW1H,154.26397977720023,BRL,3.4756056261939174
225,2021-09-29,D6S2GJ,C3GTTH,1937.8,DOCLFF7G,OPWS560,CCIPE4W,430.1553391717098,JPY,
226,2023-08-22,DYAV49,C88RIK,9532.64,DOC86PM1,OPB3GYU,CCVS8WU,326.4998804726215,EUR,
227,2022-01-01,D73H6W,C1WCJK,6906.13,DOCD7WB3,,CCBNF7E,,USD,1.2480290666241416
228,2022-03-06,D6XVJY,CUJWYQ,2233.53,DOC3TN89,OPXE77R,CCYK0JM,,EUR,2.5681167953894297
229,2023-09-08,DXA6G5,CZTN5Z,9478.97,DOC14WQ8,OP5O476,CCTNXYN,154.26397977720023,JPY,3.4756056261939174
230,2021-05-28,D8I304,C034RE,7335.47,DOCEEA44,OPNGEU1,CC1CXWO,430.1553391717098,nan,3.4756056261939174
231,2020-11-10,DDPEAG,CN8Z0G,2614.02,DOCUQ559,OPYSJMF,CC2OB5N,471.09235950902394,BRL,1.2480290666241416
232,2023-02-22,DVJ05N,C6K4SS,2211.79,DOCC8EQN,OPR5GD9,CC13FH4,,USD,3.4756056261939174
233,2023-11-15,DL2RFV,CR4WBZ,5230.19,DOCZEOJG,OPB7P6N,CCK60NZ,326.4998804726215,nan,2.5681167953894297
234,2020-01-26,DOW6IA,CHVJC0,354.06,DOCI22UP,OPU84J6,CCZY013,154.26397977720023,nan,2.135299770937235
235,2022-07-26,DPVXXE,C2QFVD,2153.95,DOCQO8C8,OPKMX1Q,CCV7MJJ,6779.970521973589,USD,3.523286759155978
236,2020-06-10,DDLWW3,CCGMMC,4304.39,DOCJSNA0,OP0Q8MM,CCWMWKY,471.09235950902394,nan,3.523286759155978
237,2021-11-18,DGC8L9,CXN75A,3804.28,DOC2PHJJ,OPFCGBU,CCTGE28,471.09235950902394,BRL,2.5681167953894297
238,2020-04-03,D0RR6J,CZ4VXV,4689.4,,OP3J344,CC2LOJI,326.4998804726215,BRL,3.4756056261939174
239,2023-01-19,DXQ16S,CFD137,2848.52,DOCAYDYT,OPX8VLH,CC6IA4L,444.1325202720218,BRL,3.523286759155978
240,2021-07-29,DUOQYV,CYTQ4Q,111137.83077514377,DOCAB3MW,OP9VJ3H,CCIR894,471.09235950902394,JPY,
241,2020-10-03,DPEX72,CRL0YR,8652.17,DOCA2A56,OP6YBZJ,CCKUS79,471.09235950902394,nan,
242,2021-05-06,DVEG8K,CHLR4F,1263.57,DOCZ3C66,OPGUPXH,CC3J69K,326.4998804726215,BRL,2.135299770937235
243,2022-09-13,D0YPJD,CK5LDE,5222.05,DOC5G54P,OPMNSYN,CCFMQWA,154.26397977720023,JPY,1.2480290666241416
244,2021-12-22,DM32AV,CVB1RM,1407.47,DOCGZRU9,OPOWQKT,CCF3SWI,430.1553391717098,BRL,2.5681167953894297
245,2023-06-03,D985O2,CJ4RD1,7196.91,DOCJPURT,OPHM6IQ,CCLM0H1,6391.963984371231,BRL,3.523286759155978
246,2021-08-12,DRAWFZ,CBXPUN,4020.99,DOCLRTB2,OP9VV7J,CC8FOWY,154.26397977720023,USD,2.135299770937235
247,2023-10-11,DX0IH6,CUCDJV,5697.67,DOC8NE90,OP5QSPU,CCS7IOI,326.4998804726215,BRL,3.523286759155978
248,2022-01-05,D6B2E0,C33ZNG,1914.47,,OPVM1F3,CCE9FCG,154.26397977720023,BRL,
249,2023-04-23,DKO94T,CN7Z30,1533.99,DOCJQXD3,OP2VPW8,CCBPIPX,471.09235950902394,BRL,2.135299770937235
250,2023-07-21,D0QTU6,CUPJ9W,4931.76,DOC8DSHF,OP3JOIH,CCUZ8PH,6391.963984371231,BRL,2.5681167953894297
251,2023-06-25,DXVGDQ,CPIDZA,3620.57,DOCEUBCU,,CCA0IFC,430.1553391717098,BRL,2.135299770937235
252,2020-09-28,DJHY55,CWM00I,9410.28,DOCEMZIO,OP7TDIB,CC22BV4,430.1553391717098,EUR,1.2480290666241416
253,2021-09-27,DS25XF,CC0RCV,7676.72,DOCAA7NT,OPOODNL,CC1O30R,2220.1702370673083,EUR,
254,2022-03-05,DF1E98,CB49DO,7511.77,,OP5UYQG,CCRMKJU,444.1325202720218,JPY,2.135299770937235
255,2022-04-28,DA34L1,C67NMV,9046.83,DOCEBMKD,OPWURKC,CCZ2AU7,154.26397977720023,JPY,
256,2023-08-25,DDHQYQ,CUBWHX,925.88,DOCGXIM1,OPHUJT0,CCP60DS,326.4998804726215,JPY,
257,2020-06-14,DSCP1T,CT0S9A,5566.71,DOCK4WN2,,CCKVBIO,154.26397977720023,EUR,3.4756056261939174
258,2020-01-04,DTS6FO,CS6CXQ,5886.31,DOCU3VT3,OPHGNT8,CCQ0776,430.1553391717098,JPY,3.4756056261939174
259,2023-05-02,D5L5FB,C3D4FT,9623.17,DOC4R4U3,OPE2A7P,CCZJWHZ,430.1553391717098,USD,1.2480290666241416
260,2021-01-28,DXECJK,C6803G,2992.26,DOCAD3LT,OPA932H,CCSGTB6,154.26397977720023,nan,
261,2023-12-01,D75RVL,C4QC53,2484.2,DOCS1RN1,OP8JQBA,CCJFWPD,430.1553391717098,USD,3.4756056261939174
262,2021-11-15,DYWSIS,CANW81,20555.111230927927,DOCIFYXD,,CC881AS,4698.992714166213,nan,2.5681167953894297
263,2020-11-23,D02N2A,C5VCU4,262.65,DOC2ULEJ,OPBOGQ7,CC53601,430.1553391717098,nan,2.5681167953894297
264,2021-05-05,DURN1I,CP0BBN,9302.34,DOCZND65,OPEZXUL,CCM6WAR,471.09235950902394,BRL,3.523286759155978
265,2021-04-01,DAS9UB,CEOWDG,6732.17,DOCMGVG0,OPCMHU1,CCMNGVF,471.09235950902394,JPY,
266,2023-07-29,DNMR15,C5GAPE,7873.01,DOCWIG6S,OPVKD41,CCIGVPY,,nan,2.135299770937235
267,2022-07-06,DP31XR,CW0F8Y,2889.13,DOCNTE66,,CCRCK39,326.4998804726215,BRL,
268,2022-02-14,D0M230,COETZV,5905.46,DOCA1L2X,OPLKJ5V,CCK9R0L,,USD,2.135299770937235
269,2023-10-11,D71RX7,CE4CBX,733.16,DOC0SRMK,OPV3EQH,CC4XFY6,154.26397977720023,BRL,1.2480290666241416
270,2023-03-09,D3ZYUH,CLGEEI,4907.71,DOCFVZJ9,OPR8KS5,CCHZ3ZQ,154.26397977720023,nan,3.4756056261939174
271,2022-04-28,DAQW3Y,C4YTDE,9777.2,DOCPQDU5,OP440U9,CC35ILI,154.26397977720023,BRL,3.523286759155978
272,2020-03-05,DWLLP1,CXV3FG,8777.4,DOCMUIN3,OPR6EOS,CCQ6626,154.26397977720023,BRL,3.4756056261939174
273,2022-04-03,D5FPIN,CR3E7Y,3447.77,DOCTCKZ2,,CCAM0UO,430.1553391717098,USD,2.5681167953894297
274,2023-12-08,DIJIV7,CYM4MJ,9619.54,DOCQWZT9,OPWI6SF,CCGC8LM,,USD,2.135299770937235
275,2023-03-08,DNQVWF,COXLAX,2393.85,DOC584KU,OPRP7UQ,CCSUT99,154.26397977720023,nan,2.5681167953894297
276,2022-05-06,DI4JGZ,CRK2YH,9498.26,,OPZYEGK,CCJXUUR,471.09235950902394,BRL,1.2480290666241416
277,2023-09-18,DV6QHG,CARL81,9419.64,DOCA3ZM2,OPQQK93,CC3SIQL,430.1553391717098,EUR,2.135299770937235
278,2020-04-05,DMI2T6,CAN25X,8012.11,DOCFTS0L,OPN3M5E,CC3EMBA,,BRL,2.5681167953894297
279,2020-12-05,DKJH4L,CIG17G,6341.43,DOC5GBQN,OPCOA4N,CC43423,326.4998804726215,nan,1.2480290666241416
280,2022-07-01,DAGH34,CJDG4U,8755.45,DOC75DGJ,OPOGHR4,CC92E62,430.1553391717098,EUR,2.5681167953894297
281,2020-05-10,DQJKR3,C5OOIU,3000.9,DOCFVN2H,OPBPX2M,CC8PFCN,444.1325202720218,BRL,1.2480290666241416
282,2021-06-14,D40ZZB,C3CDPL,8504.54,DOCBT6C7,OP3AAID,CCGJHYT,154.26397977720023,USD,2.5681167953894297
283,2023-12-07,D66MFJ,CR9OOO,6216.98,DOCE8D41,OPBWA4J,CC15M3S,6779.970521973589,nan,3.523286759155978
284,2020-11-18,DZPTO6,CBKS6K,231.04,DOCQOHPL,OPAD5ZS,CCL1GGY,326.4998804726215,BRL,3.523286759155978
285,2022-07-03,DN8DC9,CRWEBZ,3537.61,DOCU4B0Q,OPF0YKM,CC09AKU,,USD,3.4756056261939174
286,2022-12-16,DWSAXS,COAIDN,1566.59,DOC04UM4,OPB8LT0,CCUQ9V4,430.1553391717098,nan,3.523286759155978
287,2022-09-24,D8396I,CJ2AKT,9820.11,DOC26ZU3,OP142G4,CC99EF3,,EUR,2.135299770937235
288,2023-02-23,DBD7L3,CCZV3I,4835.87,DOCVQZ9H,OPPGYHW,CCQ2V35,444.1325202720218,EUR,2.135299770937235
289,2023-05-21,D5Z1U7,CI2D5Q,5024.17,DOC75BDY,OPGQLBJ,CCXCM7R,471.09235950902394,nan,2.5681167953894297
290,2020-01-01,DW85JF,CA1152,6430.78,DOCSG5AC,OP01ER2,CCWWTPH,326.4998804726215,USD,2.5681167953894297
291,2020-03-20,DG8E5J,CPNL1E,3748.99,DOCUHU8A,OPGH5H6,CCIVJ8M,430.1553391717098,EUR,1.2480290666241416
292,2022-10-09,D2FWHE,CXA1H3,1455.31,,OP5KLBY,CCS24KK,326.4998804726215,nan,3.4756056261939174
293,2021-10-29,D4O8HV,CP1X9S,8238.97,DOCMPNA7,OPRUAVZ,CCO34Q8,444.1325202720218,BRL,2.5681167953894297
294,2021-10-01,DMXY10,C42V6Y,1979.49,DOCBCT1G,OPM8NUH,CC6IWDD,471.09235950902394,nan,3.4756056261939174
295,2022-08-14,DCZWYK,CZNDOC,5162.06,DOCFEZ5N,OP1LUQ2,CC4QO7M,154.26397977720023,nan,3.4756056261939174
296,2020-04-12,DVH630,CLLFEB,2320.74,DOCH22SZ,OP8FXZS,CCHYOHC,,nan,1.2480290666241416
297,2022-04-30,DYPFTS,CWX8D7,1068.66,DOC8UPKC,OPI4813,CCCGMAR,444.1325202720218,USD,3.523286759155978
298,2021-01-20,D8YQXP,CIP5U4,8635.7,DOCSQTWS,OPLE6TP,CCZ4CAL,326.4998804726215,JPY,
299,2023-01-28,D7WJZD,C2XR74,9731.9,DOC7PZHA,OPLBR30,CC2ZVTH,326.4998804726215,BRL,2.135299770937235
300,2023-07-20,DRMVKK,CXX0B7,9612.26,DOCZA5OX,OP3VM61,CC4OARG,,USD,1.2480290666241416
301,2020-06-19,DOGEVX,CDGZ1J,9074.9,DOC5Q4UF,OP45W2P,CCFTETX,,nan,2.135299770937235
302,2020-09-24,DSE56F,CZLDQW,7763.07,DOCWQ1N7,OPTWMGT,CCGA5F2,444.1325202720218,BRL,3.523286759155978
303,2020-01-31,DJ0H20,CKF54W,3398.14,DOC0M6YN,OP24V79,CC8KJFW,444.1325202720218,USD,3.523286759155978
304,2022-04-02,DJ9NB3,C4EFZN,902.9,DOCW9FOG,OPHLJZW,CCDLJ4X,430.1553391717098,EUR,1.2480290666241416
305,2023-10-21,DOZT1Z,CGR6WA,4131.69,DOCHFUD3,,CC07RAE,471.09235950902394,BRL,1.2480290666241416
306,2022-05-05,DUXKP1,CZN44J,2399.12,DOC35EXR,OPAH746,CC2CPEH,326.4998804726215,JPY,
307,2021-10-09,D9HH9D,CLZ3UH,1411.63,DOCXS6ZP,OPQAR19,CC9Q1RF,154.26397977720023,JPY,3.4756056261939174
308,2020-01-07,DOSQXB,C0X9BI,628.93,DOCFGIQV,OPCWEWQ,CCEYFCV,471.09235950902394,BRL,
309,2021-03-13,DIDNC3,CX31VC,7283.38,DOC9EVKL,OPDEMRW,CCMKED6,326.4998804726215,BRL,1.2480290666241416
310,2020-01-30,DHHRG4,CCKNU2,213.13,DOCWQI1Z,OPQG8EK,CC9WEWX,326.4998804726215,nan,
311,2020-01-05,DSVTSW,C7O3M8,7728.75,DOCH9TB1,OPWWTC9,CCMTJQ9,154.26397977720023,nan,2.5681167953894297
312,2023-10-15,DV56YQ,CH4112,1554.77,DOCRH7KD,OP4VIAW,CC15VSI,154.26397977720023,nan,2.5681167953894297
313,2022-12-18,DW2M92,CBGEJP,887.27,DOCWJRD3,OPOIYN6,CC4S24H,430.1553391717098,BRL,2.5681167953894297
314,2023-06-07,DZBHHY,CGRJJ0,987.07,DOCCM1BX,OP07Y4R,CCRSPRE,471.09235950902394,JPY,2.135299770937235
315,2020-07-19,D3FQDJ,COCXUS,6753.27,DOCUG539,OPQALIM,CCAKT1B,444.1325202720218,EUR,3.523286759155978
316,2021-01-25,DXO076,CNWD7K,2529.14,DOCZIBWN,OPY41KK,CCCGAHS,,JPY,3.523286759155978
317,2020-08-31,DKYW3N,CH5VGR,4263.34,DOCI86YN,,CCYIRHN,326.4998804726215,nan,
318,2023-05-30,DWD5O5,CWHPT1,5617.95,DOCOK63A,OPBHRAS,CCV1OM3,430.1553391717098,USD,2.5681167953894297
319,2023-08-22,D4RF4N,CJRWE9,8619.46,DOC9EZO1,OPUGO2S,CCVKIC5,430.1553391717098,JPY,3.4756056261939174
320,2021-02-10,DYELYC,CYIXC8,7297.74,DOCTVXUW,OPWXKYJ,CCWL8EF,430.1553391717098,nan,1.2480290666241416
321,2021-09-11,D64HKZ,C9OQBZ,2776.25,DOCFLAFI,OPNIY5Z,CCZM9N2,444.1325202720218,BRL,3.523286759155978
322,2021-07-27,DX0OFC,CIW451,1401.68,DOCLKVTA,OPZNCBP,CCJQ9BN,326.4998804726215,EUR,
323,2023-11-11,DWFGVM,CZAXR3,648.21,DOCWMUNF,OPMFZ62,CCK5C1M,,USD,1.2480290666241416
324,2021-01-08,DV5P0E,CH2YZN,3085.83,DOCJJGKI,OP9H664,CCCZKTW,154.26397977720023,JPY,3.523286759155978
325,2020-07-24,DFP4PG,C0MR3B,2694.97,DOCLXSLX,OPDE4F5,CCPPGG6,326.4998804726215,nan,2.5681167953894297
326,2022-09-01,DB1UYX,CRI6HQ,4615.79,,OPLSI2K,CCYMUT7,444.1325202720218,JPY,
327,2022-03-23,DDRSBZ,CKE09X,6864.49,DOC9ZFU7,OPN9T8B,CCXA469,471.09235950902394,EUR,1.2480290666241416
328,2023-07-09,D2D30J,CUCYBE,6986.69,DOCGORWK,OPJ0M9E,CC7KA70,471.09235950902394,USD,3.4756056261939174
329,2020-06-15,DUNIE3,CX4S1S,2906.84,DOCG0G2Z,OP1TDRP,CCYRFX5,444.1325202720218,JPY,
330,2020-02-14,D82FR7,CUUC8M,3861.28,DOCTM3XX,OP3U5G9,CCY30OF,430.1553391717098,EUR,
331,2021-07-16,DIIZY5,C02A4N,1893.39,DOCW37SB,OP9DJ9B,CCMS8E7,444.1325202720218,USD,
332,2022-07-16,D5843V,CV4LPQ,7906.6,DOC6JO0G,OPO0JOC,CCN2BJP,326.4998804726215,JPY,3.523286759155978
333,2020-08-25,DGDDWU,CMOR0P,662.8,DOCE098D,,CCUCZKF,,nan,3.4756056261939174
334,2021-06-09,DJPBC3,CTJG8F,7000.27,DOCZRR0Y,OPKQ4Z3,CC9B2ZH,326.4998804726215,EUR,2.5681167953894297
335,2020-09-30,DQMJO6,CNW7Y1,7809.08,,OPINWK8,CCI43QA,154.26397977720023,nan,3.4756056261939174
336,2023-08-31,D9XHDZ,C6KBPM,146630.94888236024,DOC0C6XR,OPA0RN0,CC7A321,154.26397977720023,EUR,2.5681167953894297
337,2022-12-02,DISQ9A,CVMWHM,2668.28,,OPH4LI3,CCO26CE,154.26397977720023,nan,
338,2023-08-25,DJUTEL,CGGOLU,3800.75,DOCQI760,OPG6YYZ,CCP93GM,326.4998804726215,nan,2.5681167953894297
339,2023-08-13,DUTNHD,C4GN63,5917.24,DOCXRSAA,OPR3KWY,CCS4FAO,154.26397977720023,JPY,
340,2021-12-11,DXJ2J1,CAZ02D,2800.94,DOCTIIQK,OPQM3IX,CCX419N,430.1553391717098,JPY,3.4756056261939174
341,2020-08-23,DDFA8Q,CQ7SIQ,3771.44,DOCQVH9N,OP4MH7K,CC64QHR,326.4998804726215,nan,1.2480290666241416
342,2020-11-12,DW1S1Q,C075MT,2050.84,DOC0Q2A0,OPJBFKM,CCJ01K2,326.4998804726215,EUR,
343,2021-07-24,D40H4J,CM21CL,4652.57,DOCY44X8,OP7NGJV,CC6WVY3,6779.970521973589,JPY,3.4756056261939174
344,2020-02-08,D4ZH5J,CXEH1M,541.66,DOCVUXBL,OPY6V3B,CC0KF37,471.09235950902394,JPY,3.523286759155978
345,2020-03-27,DOVJ5Y,CKQ7FE,8017.98,DOCEVPVT,OP8BANG,CCUHF9F,444.1325202720218,nan,3.4756056261939174
346,2020-03-24,DHJZ3X,C5Z391,861.87,DOCPS9CR,OPEYWYL,CCS56Z6,154.26397977720023,EUR,1.2480290666241416
347,2021-02-25,DPLZGO,CFOBXU,5236.47,DOC09BV0,,CCJXUSD,471.09235950902394,nan,
348,2023-10-26,D78EMZ,CNG4MW,3137.42,DOCDNOQ5,,CC7HBA8,,BRL,2.5681167953894297
349,2021-06-15,DRG4PP,CXZ61N,5817.68,DOCPBJNO,OPFERZ6,CC8Y8DX,444.1325202720218,nan,3.4756056261939174
350,2023-02-17,DNDD2E,CW4S3J,9598.39,DOCZYBDX,OPIOAHW,CCIVOLV,430.1553391717098,EUR,2.135299770937235
351,2021-10-06,DA24NR,C2XABV,6491.15,DOCPZW5B,OPSBFUA,CCIY4MT,471.09235950902394,JPY,
352,2022-01-21,DOZPYK,CY68EE,450.09,DOC2UWOG,OPP91CF,CCZIEKN,154.26397977720023,JPY,
353,2023-03-08,DGKEYM,CI2EJT,4360.98,DOCFJ9BA,OPX0S7I,CC0VU1U,430.1553391717098,USD,2.135299770937235
354,2020-03-27,D8AMM4,CZ0GL7,5149.17,DOCALBNP,OP769T9,CCCKUEA,,nan,
355,2023-12-07,DI5UJG,CSXI0K,101714.99057987865,DOCPU8ZZ,,CCGZS57,,JPY,3.523286759155978
356,2023-05-29,DQAALH,CVTT8M,6845.79,DOCFJHTH,OP744PM,CCGN5FT,,BRL,3.523286759155978
357,2023-09-04,DTSKDT,CAE2XD,2848.2,DOC8EIZW,OPD8ES1,CCPBUIP,430.1553391717098,JPY,1.2480290666241416
358,2022-10-09,DKC7EF,CJPRWO,1375.72,DOCDZBK3,OP198FI,CC7FDFJ,326.4998804726215,BRL,2.5681167953894297
359,2023-08-12,DFQ6YP,CANQKL,3987.49,DOCKBUGT,OPE316O,CCCNEOK,471.09235950902394,JPY,1.2480290666241416
360,2022-07-28,D3AN8D,COAN76,9568.42,DOCUG7LY,OPWY998,CC8STUA,471.09235950902394,JPY,3.4756056261939174
361,2023-08-04,DC1H0I,CLKWHI,1952.6,DOC4ZZ7S,OPWYPDL,CCJYD42,326.4998804726215,EUR,3.4756056261939174
362,2022-06-10,DXS4GX,CVGJAR,9049.44,DOCK6A2F,OP7OYIF,CC3IJHG,4698.992714166213,JPY,3.523286759155978
363,2022-02-01,DAP8IM,C4M0RF,5483.68,DOCBKS2H,,CCY34IU,154.26397977720023,BRL,
364,2023-01-06,DLW1Q0,CCSUY0,4623.42,DOCO01SF,OP7XL7L,CCIKQNH,326.4998804726215,EUR,2.5681167953894297
365,2020-12-31,D6M1GI,CLD4D4,8832.21,DOCUG8OS,OPDQVGT,CCLIUX2,430.1553391717098,JPY,2.5681167953894297
366,2021-03-01,DQXNW7,COJEGI,4640.18,,OPNRI84,CCEDYH5,471.09235950902394,EUR,2.135299770937235
367,2022-02-08,DKI9QS,C8BDOW,7269.26,DOC57CZ8,OPJQE6A,CCVCX08,4698.992714166213,JPY,2.5681167953894297
368,2023-04-17,D6HNZL,C22C06,4050.35,DOCBPT0O,OPIKAS4,CCNI01F,444.1325202720218,USD,3.523286759155978
369,2021-08-19,DER625,CFXXWG,9050.04,,OPSPPQV,CCYYFZ0,154.26397977720023,EUR,1.2480290666241416
370,2020-01-19,DNHHRE,CPK29R,6931.25,,OPI6NYV,CCK70D8,471.09235950902394,BRL,1.2480290666241416
371,2020-10-10,DDSYTW,CECEP6,7026.26,DOC47TNY,OPBRD8O,CCYKUGA,6391.963984371231,USD,1.2480290666241416
372,2020-11-05,DHPTZM,CQ88VT,3344.43,DOCUP86T,OPKUXLA,CCLWAW4,154.26397977720023,JPY,2.5681167953894297
373,2021-07-09,D6HK15,C2G3AP,7592.11,,OPG871M,CCGT1Y2,,JPY,2.5681167953894297
374,2021-11-13,D2QSK9,C6XIAR,6397.0,DOCD9BTH,,CCHALOP,,USD,2.135299770937235
375,2021-11-22,DDNO2Z,CXWMW0,2476.2,DOC2YMQ4,OPI2OEF,CCZYCAI,444.1325202720218,nan,1.2480290666241416
376,2022-01-22,DXIROA,CY1XHB,1689.33,DOCOMW0C,,CCQ54FP,,USD,1.2480290666241416
377,2020-07-10,DPKRO3,CTWD6P,7984.28,DOCI10NQ,OPNPLQK,CCDT1MZ,444.1325202720218,BRL,3.4756056261939174
378,2021-11-23,D7O761,CETQ2C,9595.75,DOCBD5SB,,CCDQUYC,154.26397977720023,JPY,
379,2023-06-24,D8ZKTK,CEF7PQ,4635.57,DOCY1EKJ,OP4PA6C,CCFM11B,471.09235950902394,EUR,2.5681167953894297
380,2020-03-14,D3V1MP,C3LO9K,5950.74,DOCM1FQD,OPSIYGU,CCF5J40,154.26397977720023,nan,
381,2020-03-25,D8LY9I,CZX23Z,8591.45,DOCGDNNV,OPDZFZC,CCMB1E4,444.1325202720218,EUR,2.135299770937235
382,2021-07-06,DAMG65,CYU9JF,4626.51,DOC6FYDK,OPWO0RE,CCVGWWV,430.1553391717098,USD,1.2480290666241416
383,2020-12-01,D1GVI9,C6QVKR,9523.56,DOCRNJ38,OP2GBXH,CCRL5PJ,430.1553391717098,JPY,3.4756056261939174
384,2020-11-02,DAS6YY,CEE2OH,5799.94,DOCNH2ID,OP067NK,CC21XBL,326.4998804726215,BRL,
385,2023-04-09,DGOLTF,CZCH9S,8225.59,DOCUHYXM,OPKJD8C,CCH401Y,326.4998804726215,USD,2.135299770937235
386,2021-08-15,DF6XR0,CTH03F,9097.55,DOCJWTHO,OPBESRQ,CCMTQSK,326.4998804726215,USD,3.4756056261939174
387,2022-01-09,D0KOVJ,C0C97P,8173.69,DOCZBO9D,OP37OH4,CCSE70F,444.1325202720218,EUR,1.2480290666241416
388,2022-03-19,D1C1ZK,CILA97,1678.2,DOC8IXYO,OPWZQD2,CCIVQ9L,,EUR,2.135299770937235
389,2023-01-28,D7QL7N,CYRWCG,6326.09,DOC5K2TS,OPVPDI9,CC8R2F9,444.1325202720218,JPY,2.5681167953894297
390,2020-09-22,DCB2DA,CEBFMB,4044.5,DOC6WPZI,OPA31A4,CCI4O8S,326.4998804726215,EUR,3.4756056261939174
391,2021-08-23,DLAWFV,CZHFDM,720.86,DOCJ6Z7B,OPB68KV,CCDELFK,471.09235950902394,nan,
392,2020-08-23,DGXVA0,C625XV,4297.92,DOCT0M69,OPCFZZU,CCVL89B,154.26397977720023,JPY,3.523286759155978
393,2022-09-06,DEDZVX,CJ3P5L,2660.97,DOCDV35J,OPNNTZ7,CCBXDYB,444.1325202720218,BRL,
394,2021-05-05,DHDRCR,CN8SHW,8505.48,DOCHS234,OP6OTX6,CCZQAHG,326.4998804726215,nan,3.523286759155978
395,2020-04-08,D490GD,CE5Y4F,429.72,DOCK601W,OPAYIV9,CCZJPVK,471.09235950902394,USD,2.135299770937235
396,2021-09-22,D40PEW,CK0C4Z,9593.93,DOCVGUVX,OP7N3YF,CCAUE3L,6190.804118524189,EUR,3.4756056261939174
397,2021-01-02,D80TD2,CNXJUB,3618.15,DOCC5OY6,OPBHK86,CCM7T7N,6391.963984371231,BRL,3.4756056261939174
398,2022-12-07,DNN6UU,CEHNUQ,3631.4,,,CC0VYQE,,JPY,3.4756056261939174
399,2020-05-25,DOLUDV,CP85WN,261.65,DOCGOPT2,OPT4ANN,CCOXRVY,326.4998804726215,EUR,1.2480290666241416
400,2021-09-11,D4807S,C8EUET,1933.8,DOCN1A0Q,OP7R4JN,CC6JXNN,6391.963984371231,nan,
401,2022-04-05,DAAJYH,CQJZCV,4072.47,DOC18KLX,OPMMPM3,CCPMPBV,326.4998804726215,USD,3.523286759155978
402,2021-11-03,D6G30X,COMMTR,9299.99,DOCE256J,OP0PIR1,CCXL0R8,430.1553391717098,USD,1.2480290666241416
403,2021-09-04,DJJEB7,CQ7NOG,20428.723561795214,DOC65CMR,OPT2CD3,CCUBZ7X,326.4998804726215,EUR,2.135299770937235
404,2022-04-29,DM0HWS,COILAP,9458.49,,,CCH33E6,326.4998804726215,JPY,2.135299770937235
405,2020-08-10,DRWLWW,CTDMBK,163776.2261231451,DOCVGBPJ,OPPUVVO,CCE77EL,471.09235950902394,JPY,2.5681167953894297
